title,text,subject,date
Pernyataan Jokowi Ekonomi Indonesia Terjun Bebas Tidak Diberi Utang Lagi,Akun Facebook bernama Adam Fi Sabilillah mengunggah status pada tanggal 19/8/2020 di grup facebook ‘MANUSIA MERDEKA’ berupa sebuah layar tangkap berita yang menampilkan pernyataan Jokowi tentang kondisi ekonomi Indonesia. Dalam gambar tersebut menunjukan Jokowi yang mengatakan ekonomi Indonesia terjun bebas dan tidak diberi pinjaman utang.,News,"Agustus 23, 2020"
Uang Koin Perak Kemerdekaan 75 thn Indonesia Merdeka,"Sejumlah akun di Facebook mengedarkan informasi mengenai penjualan uang peringatan kemerdekaan (UPK) 75 tahun Republik Indonesia (RI) berbentuk koin perak. Salah satu akun yang menginformasikan soal itu yakni Khajen Adamani Pribadi Uang-Kuno. Pada Jumat (18/9/2020) di akunnya dia menulis status penjualan koin perak sebagai berikut: ""Menunggu kedatangan mu... Pokoknya Terjangkau lahhh... Set koin dirham Soekarno - Hatta 75 Tahun Kemerdekaan Republik Indonesia Bahan Perak... Minat PM/Lock"" Dalam statusnya juga terunggah tiga buah foto yang menampilkan koin perak.",News,"September 18, 2020"
Upah Buruh Dihitung Per-jam,Beredar informasi di media sosial Twitter yang menyebutkan bahwa di dalam Undang-undang Cipta Kerja disebutkan bahwa upah buruh dihitung per jam.,News,"Oktober 14, 2020"
Indomaret Beri 5000 Gift Voucher Gratis Senilai Rp800.000,Beredar di WhatsApp sebuah pesan terkait pembagian 5000 voucher gratis dari Indomaret senilai Rp800.000 dalam rangka memperingati ulang tahunnya yang ke-32. Pada pesan disebutkan untuk mendapatkan voucher tersebut masyarakat diminta mengisi formulir melalui sebuah tautan link https://meilumi.club/j/.,News,"Oktober 17, 2020"
Hanya Indonesia yang Beli Vaksin Sinovac Tiongkok,"Beredar informasi di media sosial WhatsApp dengan narasi sebagai berikut ""Hanya Indonesia yang beli vaksin Sinovac, padahal China sendiri beli vaksin dari Inggris sebanyak 200 juta unit"".",News,"Desember 28, 2020"
Link Pendaftaran Bantuan UMKM,"Beredar di media sosial Facebook, sebuah postingan yang menyertakan tautan untuk pendaftaran bantuan UMKM oleh pemerintah. Tautan yang dibagikan oleh akun Facebook bernama Fatan Fatan ini telah mendapat banyak respon dari masyarakat yang menyatakan akan mendaftar. Ketika masuk ke tautan tersebut, maka calon peserta akan diarahkan untuk mengisi beberapa data pribadi seperti, NIK KTP, nomor rekening, nomor atm, dan tanggal lahir.",News,"Januari 13, 2021"
subsidi Pulsa Rp200 Ribu dan Kuota 95 GB Mengatasnamakan Kemendikbud,Beredar informasi melalui broadcast WhatsApp yang berisi tautan terkait subsidi pulsa sebesar Rp200 ribu dan kuota internet 95 GB mengatasnamakan Kementerian Pendidikan dan Kebudayaan (Kemendikbud). Dengan link yang beredar https://datakominfo.shop/index.php?app=Kominfo&data1ID=165#1618126533708,News,"April 16, 2021"
Link Kuota Belajar Kemendikbud 75 GB dan Subsidi Pulsa 250 Ribu,"Beredar pesan berantai melalui media sosial WhatsApp sebuah informasi yang menyebutkan Kementerian Pendidikan, Kebudayaan Riset dan Teknologi (Kemendikbud Ristek) memiliki program kuota belajar 75 GB dan subsidi pulsa senilai Rp250 ribu untuk dosen, guru, siswa, mahasiswa selama pembelajaran jarak jauh periode juni! yang akan berakhir pada 14 Agustus 2021.",News,"Juli 22, 2021"
Makanan Tradisional akan Dikenakan Pajak 12 Persen,"Beredar sebuah narasi yang menyebutkan makanan tradisional akan dikenakan pajak 12 persen. Dengan narasi sebagai berikut, ""Angkringan Jogja, HIK solo, nasi Jamblang Cirebon, rendang Padang, empek empek Palembang, bipang Ambawang, Sego megono Pekalongan dan telor asin brebes semua akan dikenakan”. ",News,"Juli 22, 2021"
 Bantuan Kompensasi Rp 1 Juta Bagi Pemegang Kartu Vaksinasi,"Beredar sebuah pesan berantai di Whatsapp berisi informasi bantuan sebesar Rp 1 juta dari pemerintah. Dalam informasi tersebut, bantuan diberikan kepada pemegang kartu vaksinasi dengan isi lengkap pesan sebagai berikut, ""Informasi : Bagi yang sudah memiliki KARTU VAKSINASI sudah bisa mengambil kompensasi PPKM Per Tgl 1 AGUSTUS 2021 sebesar Rp. 1.000.000 untuk biaya #PPKM. Silakan cek apakah nama anda tercantum dan cocokkan dengan NIK E-KTP anda melalui link berikut ini: https://s.id/ektp-covid19"".",News,"Agustus 2, 2021"
Ambil Bansos Tunai di Kantor Pos Harus Bawa Bukti Sudah Divaksin,"Beredar di media sosial sebuah foto undangan  pengambilan bantuan sosial tunai (BST) di PT Pos Indonesia yang menyebutkan salah satu syaratnya harus menunjukkan bukti sudah vaksin Covid-19. Pada surat tersebut tidak tercantum syarat harus menyertakan bukti vaksinasi. Tata menjelaskan, memang ada beberapa kepala daerah yang meminta agar di surat pemberitahuan atau undangan ditambahkan syarat surat vaksin. Misalnya, permintaan yang diajukan Kecamatan Tambaksari, Kota Surabaya, Jawa Timur. Namun karena ketentuan dari Pemerintah (Kemensos sebagai pemberi tugas) tidak mensyaratkan surat vaksin, maka pihak PT Pos Indonesia tidak dapat memenuhi permintaan tersebut.",News,"Agustus 6, 2021"
Informasi Pengisian Data Penerima BSU Mengatasnamakan Kemnaker,"Telah beredar sebuah informasi yang berisi permintaan pengisian data bagi penerima Bantuan Subsidi Upah (BSU) mengatasnamakan Kementerian Ketenagakerjaan (Kemnaker). Informasi tersebut ramai beredar melalui pesan berantai WhatsApp. Yang berisi ""Sehubungan dengan program KEMENAKER tentang bantuan subsidi upah (BSU) agar menyiapkan data pendukung yang dibutuhkan seperti NIK, Nama Lengkap, Nomor Telepon dan email yang aktif. Data yang sudah di lengkapi akan kami kirimkan kepada pihak KEMENAKER sebagai CALON PENERIMA, keputusan penerima BSU ada di pihak KEMENAKER selaku pemilik program dan anggaran BSU.",News,"Agustus 6, 2021"
Uang Baru Pecahan 1.0 Senilai Rp1 Juta,Telah beredar di media sosial TikTok sebuah unggahan video yang memperlihatkan uang kertas pecahan 1.0 yang disebut bernilai Rp1  juta rupiah.,News,"November 6, 2021"
Bank Indonesia Tawarkan Investasi Online Lewat Telegram,"Bank Indonesia (BI) dikabarkan menawarkan jasa investasi secara daring. Kabar ini beredar melalui penyebaran gambar tangkapan layar pada grup Telegram. Kabar itu disebar oleh akun grup bernamaInvestor bank Indonesiayang memiliki77.550 anggota. Pada tangkapan layar terdapat logo BI dan narasi tawaran investasi online. Berikut penggalan narasi yang beredar: ""Titip Modal Investasi Online Aman Terpercaya Diawasi Oleh (Otoritas Jasa Keuangan)-OJK & Kementerian Perdagangan Republik Indonesia"".",News,"November 18, 2021"
inyak Goreng Seharga Rp 37 Miliar Tumpah ke Laut,Viral di media sosial sebuah video bernarasikan 2.500 ton minyak goreng tumpah ke laut. Dalam video tersebut diberitakan harga minyak goreng yang tumpah ke laut senilai Rp37 miliar.,News,"Maret 2, 2022"
Kotak Sumbangan untuk Ibu Kota Negara Baru,"Telah beredar di media sosial Facebook sebuah unggahan yang memperlihatkan sebuah kotak yang diklaim sebagai kotak saweran untuk Ibu Kota Negara Baru (IKN). Unggahan tersebut bertuliskan ""ORAAAAAAAAAA ????Ngopi dl bestie biar kuat ngadepin kedunguan mahluk sekolam.. ??Ibu Kota New Minta Saweran..????????"".",News,"April 5, 2022"
Haji dibatalkan dulu tahun ini uangnya dipakai untuk ba,"Beredar sebuah unggahan gambar hasil tangkapan layar artikel berita merdeka.com yang diunggah oleh salah satu akun Facebook pada 30 Maret 2022. Gambar tersebut menampilkan judul berita dengan narasi Menteri Agama Yaqut Cholil Qoumas menyebut haji tahun 2022 dibatalkan, dan dananya digunakan terlebih dahulu untuk pembangunan Ibu Kota Negara (IKN) Nusantara.",News,"April 5, 2022"
Surat Penyaluran Bantuan Ramadhan Catut Sekda Batang,"Surat dengan kop Pemkab Batang tersebut ditujukan kepada pengurus yayasan/lembaga se-Kabupaten Batang. Sementara dalam badan surat, tertulis nama salah satu sekolah PAUD di Batang yang akan dimintai donasi.
Dalam surat yang diberi nomor 060/393/BI/2022 tersebut tertulis hal surat: 'Santunan dana donasi bulan suci Ramadan 1443H'. Surat tersebut disertai narasi Pemkab Batang mengadakan program santunan donasi Ramadan.
Melalui surat tersebut, lembaga terkait diminta untuk mengisi form biodata lembaga dengan dalih keperluan kelengkapan pendataan untuk penyaluran donasi. Dalam surat tersebut juga tertulis bahwa donasi berbentuk uang tunai itu nantinya akan dikirim ke rekening lembaga/yayasan bersangkutan.
Tertulis pula, lembaga yang akan mendapatkan bantuan, nantinya akan dihubungi oleh Kepala Dinsos Batang, Joko Tetuko. Surat itu juga mencantumkan nama dan tanda tangan Sekda Batang Lani Dwi Rejeki, lengkap dengan stempel cap basah.

",News,"April 19, 2022"
Bantuan Voucer Pulsa untuk Masyarakat Terdampak Covid-19 Mengatasnamakan BSSN,"Beredar pesan berantai Telegram berisi pemberitahuan terkait bantuan voucer pulsa senilai Rp1.200.000 untuk masyarakat terdampak Covid-19 yang mengatasnamakan Badan Siber dan Sandi Negara (BSSN). Pada saat pesan tersebut ditanggapi maka pengirim pesan akan menanyakan nomor telepon yang terhubung dengan akun WhatsApp dan Telegram. Setelah mendapatkan nomor telepon tersebut, pengirim pesan akan meminta untuk mengakses suatu tautan yang akan meminta 5 digit angka.",News,"April 27, 2022"
Garuda Indonesia Bagi-bagi Hadiah Sebesar Rp2 Juta,Telah beredar sebuah tautan yang mengarah ke sebuah situs dengan logo Garuda Indonesia. Dalam tautan tersebut terdapat sebuah informasi yang memberikan instruksi untuk membagikan sebuah pesan ke 5 grup atau 20 teman di WhatsApp untuk mendapatkan hadiah uang Rp2 juta. Dengan cara membagikan link tersebut ke 5 group atau 20 orang teman di Whatsapp selanjutnya hadiah dapat langsung terklaim.,,
